"filename", "language", "Markdown", "pip requirements", "TypeScript", "Python", "JSON with Comments", "JavaScript", "JSON", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"d:\MAJOR_PROJECT\codewithishant-v2\frontend\components\ui\SectionRule.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 2, 8
"d:\MAJOR_PROJECT\codewithishant-v2\frontend\eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 14, 0, 0, 0, 2, 3, 19
"d:\MAJOR_PROJECT\codewithishant-v2\frontend\lib\api.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 5, 31
"d:\MAJOR_PROJECT\codewithishant-v2\frontend\lib\utils.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\MAJOR_PROJECT\codewithishant-v2\frontend\next.config.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 3, 8
"d:\MAJOR_PROJECT\codewithishant-v2\frontend\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 8468, 0, 0, 0, 1, 8469
"d:\MAJOR_PROJECT\codewithishant-v2\frontend\package.json", "JSON", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 1, 32
"d:\MAJOR_PROJECT\codewithishant-v2\frontend\postcss.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"d:\MAJOR_PROJECT\codewithishant-v2\frontend\tailwind.config.ts", "TypeScript", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 3, 62
"d:\MAJOR_PROJECT\codewithishant-v2\frontend\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 1, 35
"d:\MAJOR_PROJECT\codewithishant-v2\frontend\types\note.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\MAJOR_PROJECT\codewithishant-v2\frontend\types\topic.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"Total", "-", 144, 1, 105, 443, 34, 20, 8499, 2032, 194, 51, 534, 12057
